account_id,contract_tier,contract_duration_months,tenure_months,monthly_recurring_revenue,licensed_seats,active_users_last_30d,seat_utilization_ratio,login_frequency_last_30d,login_decay_ratio,feature_adoption_score,support_tickets_last_90d,p1_tickets_last_30d,ticket_escalation_velocity,csm_touchpoints_last_90d,billing_overdue_days,nps_score,churn
ACC-10017,Mid-Market,12,21,8621.83,83,59,0.7108,12.96,0.9875,0.6528,6,0,0.0,2,0,92.0,0
ACC-10018,Mid-Market,12,24,8829.19,124,81,0.6532,6.55,0.5437,0.5305,6,0,0.0,5,0,24.0,0
ACC-10019,Mid-Market,12,10,9284.75,106,59,0.5566,12.81,0.7233,0.6712,6,1,1.5,4,0,,0
ACC-10020,Mid-Market,12,9,8553.07,84,67,0.7976,18.31,2.6193,0.652,2,1,4.4995,4,0,-3.0,0
ACC-10021,Enterprise,12,11,28196.65,985,919,0.933,17.93,1.1191,0.6124,3,1,2.9998,5,0,42.0,0
ACC-10022,Mid-Market,36,5,2674.89,100,92,0.92,11.4,1.2833,0.3233,2,1,4.4995,6,0,48.0,0
ACC-10023,Mid-Market,12,40,3340.55,82,71,0.8659,13.24,0.8336,0.6784,7,1,1.2857,4,0,40.0,0
ACC-10024,Mid-Market,24,12,6855.09,73,50,0.6849,23.68,0.7857,0.686,5,0,0.0001,8,0,,0
ACC-10025,SMB,12,13,1441.29,19,13,0.6842,21.51,0.9161,0.8295,3,0,0.0001,4,0,-3.0,0
ACC-10026,Enterprise,36,44,11657.17,511,301,0.589,14.62,1.0778,0.4546,3,2,5.9995,4,0,,1
ACC-10027,Mid-Market,24,5,5662.85,82,61,0.7439,22.49,1.5732,0.8306,4,2,4.4997,2,0,65.0,0
ACC-10028,Mid-Market,24,15,9381.98,51,47,0.9216,6.74,1.0156,0.1858,3,0,0.0001,3,0,,0
ACC-10029,Enterprise,24,26,28465.16,746,553,0.7413,2.64,0.7572,0.5927,5,0,0.0001,2,0,53.0,0
ACC-10030,Mid-Market,12,40,6520.5,60,43,0.7167,10.61,1.0879,0.9269,5,0,0.0001,3,0,58.0,0
ACC-10031,Enterprise,36,6,44496.07,167,104,0.6228,4.95,1.0074,0.4971,5,0,0.0001,3,16,,0
ACC-10032,Enterprise,24,44,32200.31,748,636,0.8503,8.41,1.1778,0.5987,3,0,0.0001,4,0,80.0,0
ACC-10033,SMB,24,14,1102.39,6,5,0.8333,7.33,0.7838,0.7558,2,0,0.0001,4,0,58.0,0
ACC-10034,SMB,24,14,1522.73,32,24,0.75,5.79,0.9566,0.8542,3,1,2.9998,3,0,,0
ACC-10035,SMB,12,8,803.16,8,7,0.875,11.05,1.605,0.63,3,2,5.9995,2,0,,1
ACC-10036,Mid-Market,24,17,6293.5,77,64,0.8312,21.55,1.8356,0.9357,6,0,0.0,7,24,12.0,0
ACC-10037,Enterprise,12,44,42020.09,617,407,0.6596,16.2,0.7231,0.6411,2,0,0.0001,2,0,,0
ACC-10038,SMB,24,17,2013.63,23,14,0.6087,10.73,1.2296,0.508,3,0,0.0001,2,0,,0
ACC-10039,Mid-Market,12,10,4709.95,103,78,0.7573,2.82,0.5787,0.5394,4,1,2.2499,7,0,,0
ACC-10040,Enterprise,36,11,12779.9,763,679,0.8899,24.33,0.845,0.9331,8,0,0.0,6,0,,0
ACC-10041,Mid-Market,12,11,7980.61,87,74,0.8506,13.7,0.6127,0.8705,4,0,0.0001,4,0,-12.0,0
ACC-10042,Enterprise,12,37,15603.22,516,502,0.9729,5.56,0.92,0.7927,2,2,8.9988,3,0,27.0,1
ACC-10043,SMB,24,42,2255.16,21,15,0.7143,21.4,1.4797,0.4346,5,1,1.8,5,0,60.0,0
ACC-10044,Mid-Market,24,6,5056.8,44,39,0.8864,16.91,1.1509,0.7888,5,0,0.0001,2,0,,0
ACC-10045,SMB,24,8,1631.18,24,17,0.7083,7.74,0.9418,0.7931,1,1,8.9976,8,0,29.0,0
ACC-10046,Mid-Market,12,9,3142.71,129,99,0.7674,5.64,0.829,0.8517,2,1,4.4995,4,0,53.0,0
ACC-10047,Mid-Market,12,12,4135.6,69,51,0.7391,22.49,1.4809,0.731,1,0,0.0003,4,0,8.0,0
ACC-10048,Mid-Market,24,47,9644.75,63,40,0.6349,11.69,0.7241,0.5003,1,0,0.0003,5,0,,0
ACC-10049,Enterprise,36,43,32093.08,601,329,0.5474,14.23,1.0393,0.5388,2,0,0.0001,2,0,25.0,0
ACC-10050,SMB,24,16,1577.61,20,12,0.6,3.0,0.9478,0.4541,6,0,0.0,5,4,17.0,0
ACC-10051,SMB,12,12,2349.25,32,13,0.4062,15.0,0.9354,0.5398,5,0,0.0001,3,0,,0
ACC-10052,SMB,36,4,2491.16,22,12,0.5455,9.35,0.7163,0.2897,2,1,4.4995,1,0,54.0,0
ACC-10053,SMB,12,19,2142.29,16,14,0.875,8.22,0.8423,0.4754,4,2,4.4997,7,0,,1
ACC-10054,Mid-Market,12,17,7591.54,50,44,0.88,2.96,0.748,0.5855,5,0,0.0001,4,8,87.0,0
ACC-10055,SMB,12,7,1722.06,5,4,0.8,9.25,1.3762,0.6981,3,1,2.9998,5,0,59.0,0
ACC-10056,Enterprise,12,21,32143.57,196,160,0.8163,14.51,1.915,0.9361,5,1,1.8,3,0,32.0,0
ACC-10057,Enterprise,24,28,16537.38,454,420,0.9251,4.79,1.1402,0.7403,0,0,1.0,3,0,43.0,0
ACC-10058,Enterprise,12,7,10547.91,503,384,0.7634,6.82,1.2661,0.5451,3,1,2.9998,8,0,,0
ACC-10059,Mid-Market,12,12,6863.54,146,117,0.8014,3.75,0.874,0.6883,4,0,0.0001,3,0,,0
ACC-10060,Mid-Market,12,27,7640.11,61,26,0.4262,31.78,1.3133,0.4541,3,0,0.0001,4,0,59.0,0
ACC-10061,Mid-Market,12,10,6469.54,61,49,0.8033,13.61,0.9899,0.7613,4,1,2.2499,7,36,,1
ACC-10062,SMB,24,12,964.61,25,22,0.88,5.3,0.7808,0.4869,4,0,0.0001,6,0,2.0,0
ACC-10063,Mid-Market,12,12,9350.67,138,100,0.7246,23.4,1.0381,0.8011,4,0,0.0001,3,0,73.0,0
ACC-10064,Mid-Market,12,21,4770.76,146,73,0.5,8.69,0.7537,0.7166,8,1,1.125,3,0,,0
ACC-10065,Mid-Market,24,30,4153.55,125,47,0.376,14.71,0.7884,0.7487,1,0,0.0003,8,0,49.0,0
ACC-10066,Enterprise,24,39,35478.0,285,250,0.8772,6.33,0.7883,0.4471,3,2,5.9995,6,0,,0
ACC-10067,SMB,24,29,2153.46,33,25,0.7576,15.68,0.964,0.9347,5,0,0.0001,3,0,66.0,0
ACC-10068,Enterprise,12,16,30425.87,555,260,0.4685,15.09,1.1256,0.4544,3,0,0.0001,4,0,22.0,0
ACC-10069,SMB,24,24,1563.39,5,4,0.8,24.5,1.0239,0.5615,2,1,4.4995,4,0,-25.0,0
ACC-10070,SMB,36,7,2373.43,29,22,0.7586,10.23,0.834,0.7513,2,0,0.0001,4,4,,0
ACC-10071,Enterprise,24,50,8733.0,826,782,0.9467,9.78,1.645,0.8857,4,0,0.0001,2,0,10.0,0
ACC-10072,Enterprise,24,10,18311.97,379,215,0.5673,4.02,1.3971,0.7148,4,1,2.2499,7,0,31.0,0
ACC-10073,SMB,12,23,2399.31,5,3,0.6,5.53,1.8413,0.6622,3,0,0.0001,3,0,9.0,0
ACC-10074,SMB,36,18,1099.73,14,9,0.6429,24.77,0.9991,0.544,4,0,0.0001,9,0,-5.0,0
ACC-10075,SMB,12,6,747.05,26,24,0.9231,2.05,1.3392,0.9081,3,0,0.0001,5,0,21.0,0
ACC-10076,SMB,12,10,1275.21,16,12,0.75,6.5,0.7608,0.8319,5,1,1.8,4,0,71.0,0
ACC-10077,Enterprise,12,31,24254.05,527,401,0.7609,11.69,0.71,0.6065,2,0,0.0001,4,0,78.0,0
ACC-10078,Mid-Market,12,15,5834.4,113,91,0.8053,14.69,0.8651,0.8081,6,0,0.0,3,0,76.0,0
ACC-10079,Enterprise,36,9,10087.56,703,463,0.6586,24.74,0.7331,0.5201,3,0,0.0001,2,4,44.0,0
ACC-10080,SMB,24,14,1976.1,18,13,0.7222,11.46,0.7263,0.7392,4,0,0.0001,3,0,71.0,0
ACC-10081,Mid-Market,24,9,8808.6,91,55,0.6044,13.34,1.0695,0.6014,1,3,26.9922,3,0,30.0,0
ACC-10082,Mid-Market,24,12,2665.12,95,80,0.8421,13.91,1.3818,0.3599,1,0,0.0003,4,0,64.0,0
ACC-10083,Enterprise,12,5,14415.97,966,711,0.736,4.85,1.1569,0.5892,4,0,0.0001,2,0,70.0,0
ACC-10084,Mid-Market,12,16,8728.17,141,72,0.5106,14.74,0.8228,0.8322,3,0,0.0001,4,0,,0
ACC-10085,Mid-Market,24,18,9278.45,136,134,0.9853,28.11,0.9387,0.5981,0,1,30001.0,7,0,,0
ACC-10086,SMB,24,12,1364.44,6,2,0.3333,21.66,0.92,0.9126,1,0,0.0003,5,0,5.0,0
ACC-10087,Mid-Market,12,31,8916.53,112,104,0.9286,2.42,0.949,0.6686,3,0,0.0001,6,0,-20.0,0
ACC-10088,SMB,24,12,1836.78,23,19,0.8261,10.68,0.8769,0.6591,5,0,0.0001,5,0,,0
ACC-10089,Mid-Market,12,15,5889.67,41,28,0.6829,8.13,0.8878,0.6033,4,0,0.0001,4,0,45.0,0
ACC-10090,Enterprise,12,11,18844.5,795,413,0.5195,6.81,1.2095,0.829,2,1,4.4995,3,0,2.0,0
ACC-10091,SMB,12,13,1209.09,22,14,0.6364,10.75,0.7212,0.6647,4,0,0.0001,5,0,30.0,0
ACC-10092,SMB,12,24,1593.52,33,21,0.6364,14.3,0.6617,0.7984,8,0,0.0,5,0,54.0,0
ACC-10093,Mid-Market,24,7,5077.21,46,37,0.8043,9.28,0.985,0.82,4,0,0.0001,4,0,2.0,0
ACC-10094,SMB,24,21,1082.17,27,20,0.7407,15.45,0.8029,0.8107,6,0,0.0,4,0,58.0,0
ACC-10095,Mid-Market,12,10,2807.39,60,48,0.8,11.4,1.0657,0.5688,3,0,0.0001,1,0,42.0,0
ACC-10096,Mid-Market,24,7,8701.61,68,63,0.9265,6.3,0.6428,0.7249,3,0,0.0001,5,0,35.0,0
ACC-10097,Mid-Market,24,13,7492.91,72,56,0.7778,24.94,0.9834,0.3166,1,0,0.0003,5,0,41.0,0
ACC-10098,Enterprise,12,37,10594.65,740,625,0.8446,9.73,0.8451,0.8446,0,3,90001.0,2,0,26.0,1
ACC-10099,Enterprise,12,23,38721.47,202,176,0.8713,17.06,0.9534,0.7495,2,0,0.0001,5,0,,0
ACC-10100,Enterprise,36,13,27448.73,349,209,0.5989,8.01,1.8088,0.7886,4,0,0.0001,2,0,37.0,0
ACC-10101,Mid-Market,24,9,7637.41,89,73,0.8202,16.22,1.5239,0.4981,3,0,0.0001,5,0,,0
ACC-10102,Mid-Market,36,42,5019.9,69,56,0.8116,18.03,1.2036,0.7491,3,0,0.0001,4,0,22.0,0
ACC-10103,Mid-Market,12,19,3391.04,38,34,0.8947,18.99,0.888,0.6127,2,4,17.9975,5,0,,1
ACC-10104,SMB,24,17,1178.54,5,3,0.6,20.77,0.9657,0.777,4,0,0.0001,6,0,82.0,0
ACC-10105,Mid-Market,12,22,6246.19,131,95,0.7252,11.66,0.9462,0.7575,3,1,2.9998,5,0,14.0,0
ACC-10106,Mid-Market,12,23,7164.99,38,30,0.7895,4.13,0.9385,0.6838,5,0,0.0001,1,0,-8.0,0
ACC-10107,SMB,12,12,592.29,31,24,0.7742,22.64,0.8029,0.5268,7,0,0.0,2,0,29.0,0
ACC-10108,Mid-Market,12,26,8837.82,87,59,0.6782,10.94,1.2586,0.7328,0,0,1.0,1,0,74.0,0
ACC-10109,Enterprise,12,6,22538.71,899,683,0.7597,4.96,1.2028,0.6499,2,0,0.0001,8,0,9.0,0
ACC-10110,Mid-Market,12,23,9145.43,84,58,0.6905,12.7,1.052,0.796,5,0,0.0001,3,0,44.0,0
ACC-10111,Enterprise,12,13,26048.17,207,196,0.9469,14.19,0.9047,0.7905,4,0,0.0001,6,0,59.0,0
ACC-10112,SMB,24,32,677.07,33,19,0.5758,16.86,0.9497,0.8091,3,0,0.0001,2,0,2.0,0
ACC-10113,SMB,12,12,1159.19,7,6,0.8571,36.41,0.8011,0.777,1,1,8.9976,0,0,17.0,0
ACC-10114,Mid-Market,12,28,3246.31,31,20,0.6452,24.08,1.0837,0.7225,6,0,0.0,3,0,52.0,0
ACC-10115,SMB,12,20,2232.34,29,27,0.931,10.36,0.9051,0.8234,3,0,0.0001,4,0,,0
ACC-10116,SMB,12,60,1972.78,13,9,0.6923,7.79,0.9038,0.5138,3,1,2.9998,6,0,78.0,0
ACC-10117,Enterprise,24,26,26761.85,317,242,0.7634,5.38,1.3903,0.7446,2,0,0.0001,5,8,27.0,0
ACC-10118,SMB,12,17,1703.81,29,27,0.931,17.55,0.6991,0.6404,2,2,8.9988,2,0,-9.0,1
ACC-10119,Mid-Market,24,5,3450.21,93,69,0.7419,11.85,0.9538,0.3447,5,0,0.0001,2,0,16.0,0
ACC-10120,SMB,12,30,1845.58,9,8,0.8889,26.97,0.7206,0.816,2,0,0.0001,6,0,-42.0,0
ACC-10121,SMB,12,31,1419.35,21,11,0.5238,9.22,0.7888,0.8394,7,1,1.2857,2,12,64.0,0
ACC-10122,Mid-Market,24,13,9050.9,30,28,0.9333,12.86,0.9365,0.7598,3,0,0.0001,3,0,-8.0,0
ACC-10123,Enterprise,24,11,14413.31,167,105,0.6287,9.65,1.5637,0.7697,5,0,0.0001,4,0,7.0,0
ACC-10124,Mid-Market,12,27,6268.05,141,94,0.6667,9.99,0.957,0.7385,1,1,8.9976,8,0,69.0,0
ACC-10125,Mid-Market,24,19,8696.49,62,42,0.6774,13.4,0.792,0.6161,2,0,0.0001,4,0,10.0,0
ACC-10126,SMB,12,15,2384.94,33,25,0.7576,7.79,0.8622,0.689,1,1,8.9976,3,0,65.0,0
ACC-10127,SMB,24,21,591.57,34,29,0.8529,11.09,1.422,0.9333,3,1,2.9998,2,0,8.0,0
ACC-10128,Enterprise,24,13,23044.88,831,598,0.7196,9.19,0.863,0.6259,1,1,8.9976,4,0,71.0,0
ACC-10129,Mid-Market,24,31,8203.32,120,83,0.6917,17.38,1.2109,0.303,1,2,17.9949,6,0,26.0,1
ACC-10130,Mid-Market,36,14,9615.49,94,81,0.8617,7.06,1.778,0.7014,0,1,30001.0,7,0,52.0,0
ACC-10131,Mid-Market,12,27,4231.04,70,48,0.6857,33.23,1.0808,0.576,6,0,0.0,8,0,32.0,0
ACC-10132,Enterprise,24,17,19282.53,355,246,0.693,14.45,0.8237,0.5039,2,0,0.0001,4,0,65.0,0
ACC-10133,Mid-Market,12,20,3421.58,102,90,0.8824,28.99,1.3857,0.6852,4,0,0.0001,4,0,68.0,0
ACC-10134,SMB,12,42,1261.13,15,12,0.8,17.06,0.7491,0.7507,2,0,0.0001,5,0,56.0,0
ACC-10135,Mid-Market,12,12,2699.65,118,105,0.8898,16.04,1.0321,0.6316,6,0,0.0,3,0,-4.0,0
ACC-10136,Mid-Market,12,26,5013.0,41,27,0.6585,8.69,0.9899,0.699,5,0,0.0001,6,0,52.0,0
ACC-10137,SMB,24,36,2251.54,16,10,0.625,15.88,1.1002,0.8932,1,0,0.0003,4,0,80.0,0
ACC-10138,Mid-Market,24,25,2953.01,77,56,0.7273,18.39,0.7882,0.6374,2,0,0.0001,4,0,,0
ACC-10139,SMB,24,32,1023.29,33,18,0.5455,6.49,1.6378,0.6772,3,3,8.9992,5,4,56.0,1
ACC-10140,SMB,12,18,1389.3,6,5,0.8333,9.13,0.7442,0.7496,3,3,8.9992,5,0,,1
ACC-10141,Mid-Market,12,24,9954.71,90,56,0.6222,18.22,0.8675,0.5708,2,0,0.0001,4,0,86.0,0
ACC-10142,Mid-Market,36,28,4703.78,35,29,0.8286,31.77,0.6284,0.4885,0,1,30001.0,5,0,66.0,0
ACC-10143,Mid-Market,12,17,9545.62,52,43,0.8269,17.39,1.7859,0.425,3,3,8.9992,4,0,27.0,1
ACC-10144,Mid-Market,24,55,2520.62,57,38,0.6667,15.15,1.1123,0.8807,6,0,0.0,5,0,,0
ACC-10145,Enterprise,24,10,15865.28,164,151,0.9207,8.06,1.0791,0.4508,6,0,0.0,5,0,20.0,0
ACC-10146,Mid-Market,24,9,2030.6,72,34,0.4722,20.76,0.799,0.8704,4,0,0.0001,9,0,,0
ACC-10147,Mid-Market,12,39,6099.66,52,50,0.9615,7.62,0.777,0.3517,2,1,4.4995,1,0,42.0,0
ACC-10148,Enterprise,24,36,10714.84,875,724,0.8274,5.5,0.9583,0.849,1,2,17.9949,1,0,31.0,1
ACC-10149,Mid-Market,12,11,7940.67,50,35,0.7,28.78,1.0694,0.723,2,0,0.0001,6,0,36.0,0
ACC-10150,SMB,24,32,1769.7,9,8,0.8889,16.84,1.039,0.8889,4,1,2.2499,3,0,50.0,0
ACC-10151,Mid-Market,12,22,6384.74,128,94,0.7344,5.88,1.064,0.5225,8,0,0.0,7,0,51.0,0
ACC-10152,Enterprise,12,17,23123.53,429,299,0.697,20.62,0.8993,0.3953,2,1,4.4995,6,0,,0
ACC-10153,Mid-Market,12,11,4059.37,138,114,0.8261,8.72,0.8296,0.8006,2,0,0.0001,5,0,,0
ACC-10154,SMB,24,16,1460.79,8,5,0.625,12.73,0.8653,0.7825,2,0,0.0001,6,0,38.0,0
ACC-10155,Mid-Market,12,9,2577.85,72,57,0.7917,13.73,0.9872,0.8148,0,0,1.0,3,0,-12.0,0
ACC-10156,SMB,12,14,2032.27,29,23,0.7931,9.62,0.987,0.9854,3,3,8.9992,5,0,52.0,1
ACC-10157,SMB,12,9,1211.87,29,20,0.6897,14.42,0.8206,0.4706,4,0,0.0001,7,0,31.0,0
ACC-10158,Mid-Market,36,7,6524.8,91,70,0.7692,16.6,1.0221,0.5472,3,0,0.0001,5,0,-12.0,0
ACC-10159,SMB,24,33,1127.61,22,18,0.8182,9.91,0.7508,0.874,4,0,0.0001,1,0,-21.0,0
ACC-10160,Mid-Market,24,15,8139.16,119,97,0.8151,5.49,0.7162,0.6423,3,0,0.0001,4,0,63.0,0
ACC-10161,Mid-Market,24,21,4652.11,111,88,0.7928,8.95,1.3924,0.6795,1,0,0.0003,6,0,15.0,0
ACC-10162,Mid-Market,12,12,3382.53,145,100,0.6897,10.45,1.626,0.6305,3,0,0.0001,3,0,26.0,0
ACC-10163,Mid-Market,12,15,8835.85,140,99,0.7071,7.87,0.7784,0.5742,2,1,4.4995,1,0,11.0,0
ACC-10164,Enterprise,36,9,18329.98,896,692,0.7723,20.85,0.7673,0.7975,5,0,0.0001,5,0,,0
ACC-10165,SMB,12,39,1142.83,23,20,0.8696,18.73,1.6751,0.7416,4,1,2.2499,3,0,14.0,0
ACC-10166,Mid-Market,12,4,3303.24,110,76,0.6909,8.66,0.9205,0.8317,2,0,0.0001,3,0,0.0,0
ACC-10167,Enterprise,12,27,15924.82,552,422,0.7645,15.91,0.8389,0.6073,5,0,0.0001,3,0,,0
ACC-10168,Enterprise,12,12,28415.58,294,233,0.7925,13.79,0.6346,0.5687,4,0,0.0001,2,0,42.0,0
ACC-10169,Mid-Market,12,9,8235.31,38,19,0.5,14.44,0.9433,0.7222,3,0,0.0001,7,0,,0
ACC-10170,SMB,12,6,1631.87,31,13,0.4194,6.88,0.8569,0.5638,1,1,8.9976,0,0,-29.0,1
ACC-10171,Enterprise,12,18,20193.44,439,223,0.508,11.09,1.4063,0.454,7,0,0.0,2,0,36.0,0
ACC-10172,Mid-Market,12,25,6599.14,74,56,0.7568,5.59,0.9512,0.7729,3,0,0.0001,4,0,9.0,0
ACC-10173,Mid-Market,12,24,6046.66,52,46,0.8846,5.19,1.4754,0.4506,2,0,0.0001,1,0,,0
ACC-10174,Mid-Market,12,13,7043.13,122,115,0.9426,28.64,1.3769,0.6114,1,1,8.9976,6,0,10.0,0
ACC-10175,Enterprise,12,15,30887.54,262,192,0.7328,12.67,0.6617,0.4507,3,1,2.9998,4,0,43.0,0
ACC-10176,SMB,24,9,1775.61,14,9,0.6429,15.92,0.7862,0.7828,4,1,2.2499,7,0,64.0,0
ACC-10177,Mid-Market,12,10,6552.42,63,41,0.6508,15.12,0.8893,0.9095,4,0,0.0001,3,0,13.0,0
ACC-10178,SMB,24,33,1402.04,10,8,0.8,4.91,0.6748,0.8392,8,1,1.125,7,0,62.0,0
ACC-10179,Enterprise,24,5,33299.62,802,664,0.8279,15.75,0.8508,0.5023,4,0,0.0001,2,0,,0
ACC-10180,Mid-Market,24,5,8736.9,54,40,0.7407,15.62,1.069,0.8649,1,0,0.0003,0,0,35.0,0
ACC-10181,Enterprise,12,11,43463.52,781,501,0.6415,11.0,0.8713,0.4843,1,0,0.0003,2,12,25.0,0
ACC-10182,SMB,12,39,1623.97,27,21,0.7778,21.21,0.9411,0.7974,5,0,0.0001,1,0,62.0,0
ACC-10183,SMB,12,17,493.36,30,27,0.9,17.44,1.1294,0.4848,3,0,0.0001,6,0,,0
ACC-10184,Mid-Market,24,55,8448.43,138,68,0.4928,7.88,0.675,0.6462,4,0,0.0001,9,0,,0
ACC-10185,SMB,12,14,1920.46,30,22,0.7333,13.03,1.7352,0.9691,5,0,0.0001,5,0,-3.0,0
ACC-10186,SMB,24,24,1935.37,32,19,0.5938,16.62,1.0497,0.5173,3,1,2.9998,4,0,14.0,0
ACC-10187,Mid-Market,24,30,3337.03,106,84,0.7925,9.73,0.7297,0.7183,4,1,2.2499,4,0,,0
ACC-10188,Mid-Market,12,50,8303.27,144,80,0.5556,11.61,1.1548,0.5226,4,1,2.2499,4,0,14.0,0
ACC-10189,Mid-Market,12,11,3343.5,104,66,0.6346,4.65,0.6699,0.7901,1,0,0.0003,10,0,55.0,0
ACC-10190,Enterprise,24,17,9791.05,881,730,0.8286,13.59,2.5748,0.5166,4,0,0.0001,3,0,92.0,0
ACC-10191,SMB,12,15,740.08,12,8,0.6667,9.1,1.1527,0.5578,5,0,0.0001,4,0,50.0,0
ACC-10192,SMB,12,26,901.36,12,5,0.4167,18.88,0.808,0.8628,3,0,0.0001,2,0,55.0,0
ACC-10193,Mid-Market,24,37,8861.61,147,113,0.7687,7.61,1.2931,0.6267,3,0,0.0001,3,0,,0
ACC-10194,Mid-Market,12,37,9273.12,49,40,0.8163,4.06,0.9171,0.5205,4,0,0.0001,6,0,35.0,0
ACC-10195,Mid-Market,36,11,2629.76,53,30,0.566,4.64,1.1136,0.7167,5,0,0.0001,3,0,47.0,0
ACC-10196,SMB,24,10,1437.47,19,16,0.8421,25.28,0.6797,0.646,1,0,0.0003,5,0,20.0,0
ACC-10197,SMB,24,24,1530.76,32,21,0.6562,17.07,0.6493,0.5703,1,1,8.9976,4,0,16.0,0
ACC-10198,SMB,12,8,1134.9,14,6,0.4286,6.89,0.8107,0.5796,4,1,2.2499,2,0,7.0,1
ACC-10199,SMB,12,26,678.65,6,5,0.8333,13.21,0.7962,0.565,2,1,4.4995,2,0,,1
ACC-10200,Mid-Market,12,17,3586.95,60,59,0.9833,30.14,0.7422,0.9124,1,1,8.9976,10,0,,0
ACC-10201,Enterprise,12,33,21908.24,842,694,0.8242,7.01,0.8947,0.5263,4,1,2.2499,7,0,,0
ACC-10202,Enterprise,12,30,14000.4,271,177,0.6531,28.33,0.9806,0.8246,3,0,0.0001,4,0,76.0,0
ACC-10203,SMB,12,18,646.6,14,9,0.6429,25.19,0.9861,0.6724,2,0,0.0001,7,12,,0
ACC-10204,Mid-Market,12,8,9304.35,142,97,0.6831,7.89,1.2318,0.9483,3,1,2.9998,2,32,53.0,1
ACC-10205,Enterprise,12,8,24107.3,234,184,0.7863,14.79,1.7059,0.8612,3,0,0.0001,7,0,,0
ACC-10206,Enterprise,24,17,35366.34,297,220,0.7407,5.39,1.166,0.6642,2,0,0.0001,4,0,-13.0,0
ACC-10207,SMB,12,22,2049.39,15,13,0.8667,9.4,0.716,0.6539,6,0,0.0,3,0,38.0,0
ACC-10208,Enterprise,12,14,11530.97,834,566,0.6787,16.83,0.9662,0.2979,2,2,8.9988,2,0,22.0,1
ACC-10209,Enterprise,24,9,33487.05,499,210,0.4208,9.51,0.729,0.447,3,0,0.0001,3,0,37.0,0
ACC-10210,Mid-Market,36,14,9126.84,78,66,0.8462,4.3,0.7566,0.5636,2,2,8.9988,3,0,,1
ACC-10211,SMB,12,34,2246.14,13,12,0.9231,1.89,1.0907,0.9105,6,0,0.0,3,0,35.0,0
ACC-10212,SMB,12,14,1997.99,13,12,0.9231,13.07,0.8927,0.9226,2,0,0.0001,4,0,100.0,0
ACC-10213,Mid-Market,24,11,7614.58,36,30,0.8333,31.24,1.2842,0.544,2,1,4.4995,2,0,34.0,0
ACC-10214,SMB,36,8,1361.67,33,16,0.4848,8.34,0.7439,0.7046,2,0,0.0001,2,0,,0
ACC-10215,Mid-Market,24,16,3645.31,96,81,0.8438,20.78,0.8687,0.6737,5,0,0.0001,5,0,,0
ACC-10216,Mid-Market,24,31,7616.81,60,47,0.7833,10.16,0.7903,0.8542,3,0,0.0001,1,0,,0
ACC-10217,SMB,12,32,664.98,10,9,0.9,26.02,1.1454,0.6844,1,0,0.0003,3,0,23.0,0
ACC-10218,Mid-Market,12,10,3149.95,38,27,0.7105,27.9,1.2379,0.655,2,0,0.0001,3,0,36.0,0
